episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/loss,info/learner/default_policy/grad_norm,info/learner/default_policy/td_error_abs,info/learner/default_policy/q_taken_mean,info/learner/default_policy/target_mean
-1464.0,-61855.0,-22483.39393939394,360.0,3,1,11880,11880,False,33,11,ae4454f73a2c4bcaa8deaa84c8b27c0e,2021-07-17_15-46-40,1626536800,28.86659550666809,268.5264000892639,18168,264e0c6a7bc9,172.17.0.2,268.5264000892639,0,11,864eb_00000,"[-61855.0, -61046.0, -61083.0, -1837.0, -1464.0, -3158.0, -2426.0, -3071.0, -2679.0, -4974.0, -4767.0, -3769.0, -4569.0, -6976.0, -6459.0, -6598.0, -7406.0, -10935.0, -11629.0, -14634.0, -15949.0, -14331.0, -17187.0, -19465.0, -24560.0, -30620.0, -29935.0, -36314.0, -43675.0, -49353.0, -56709.0, -61522.0, -60997.0]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",0.5621794243795469,1.5763398280490273,0.2551228317508592,16.436792234047264,0.0,0.094,3817817.523,562.611,639.874,6.795,11880,11880,11880,11880,33,27.760975609756095,12.600000000000001,2.1684456653848576e+16,1.6271352604393472e+16,127129430.36767676,477404968.85656565,600618639.7737374
-1464.0,-62480.0,-25714.222222222223,360.0,3,1,12960,12960,False,36,12,ae4454f73a2c4bcaa8deaa84c8b27c0e,2021-07-17_15-47-10,1626536830,29.139694452285767,297.6660945415497,18168,264e0c6a7bc9,172.17.0.2,297.6660945415497,0,12,864eb_00000,"[-62480.0, -59321.0, -61959.0, -1837.0, -1464.0, -3158.0, -2426.0, -3071.0, -2679.0, -4974.0, -4767.0, -3769.0, -4569.0, -6976.0, -6459.0, -6598.0, -7406.0, -10935.0, -11629.0, -14634.0, -15949.0, -14331.0, -17187.0, -19465.0, -24560.0, -30620.0, -29935.0, -36314.0, -43675.0, -49353.0, -56709.0, -61522.0, -60997.0, -61855.0, -61046.0, -61083.0]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",0.5628287748455795,1.5760873977712186,0.2552742939972488,16.63442891425065,0.0,0.1,3610962.694,566.806,635.137,6.952,12960,12960,12960,12960,36,27.52142857142857,12.661904761904763,1.8513164471631872e+17,2.7652495818253926e+17,268295232.12929294,2544419444.880808,2783907318.690909
-1464.0,-63253.0,-28477.076923076922,360.0,3,1,14040,14040,False,39,13,ae4454f73a2c4bcaa8deaa84c8b27c0e,2021-07-17_15-47-41,1626536861,29.953481435775757,327.61957597732544,18168,264e0c6a7bc9,172.17.0.2,327.61957597732544,0,13,864eb_00000,"[-63253.0, -60127.0, -61514.0, -1837.0, -1464.0, -3158.0, -2426.0, -3071.0, -2679.0, -4974.0, -4767.0, -3769.0, -4569.0, -6976.0, -6459.0, -6598.0, -7406.0, -10935.0, -11629.0, -14634.0, -15949.0, -14331.0, -17187.0, -19465.0, -24560.0, -30620.0, -29935.0, -36314.0, -43675.0, -49353.0, -56709.0, -61522.0, -60997.0, -61855.0, -61046.0, -61083.0, -62480.0, -59321.0, -61959.0]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",0.5635985677342413,1.5764352017590797,0.25541782410121977,16.828175197538314,0.0,0.102,3527796.098,564.25,638.015,7.646,14040,14040,14040,14040,39,26.71162790697674,12.700000000000003,1.1094238109997466e+17,1.190142996864041e+17,265763175.95151514,1404102444.9939394,1658084631.2727273
-1464.0,-63253.0,-30817.880952380954,360.0,3,1,15120,15120,False,42,14,ae4454f73a2c4bcaa8deaa84c8b27c0e,2021-07-17_15-48-12,1626536892,30.12575054168701,357.74532651901245,18168,264e0c6a7bc9,172.17.0.2,357.74532651901245,0,14,864eb_00000,"[-59700.0, -61109.0, -62936.0, -1837.0, -1464.0, -3158.0, -2426.0, -3071.0, -2679.0, -4974.0, -4767.0, -3769.0, -4569.0, -6976.0, -6459.0, -6598.0, -7406.0, -10935.0, -11629.0, -14634.0, -15949.0, -14331.0, -17187.0, -19465.0, -24560.0, -30620.0, -29935.0, -36314.0, -43675.0, -49353.0, -56709.0, -61522.0, -60997.0, -61855.0, -61046.0, -61083.0, -62480.0, -59321.0, -61959.0, -63253.0, -60127.0, -61514.0]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",0.5644345664130946,1.5767886873649655,0.25555884607715396,17.017200335431873,0.0,0.104,3457011.673,574.276,626.876,8.356,15120,15120,15120,15120,42,26.57954545454546,12.799999999999995,4.614106593275937e+18,1.5089512037010637e+18,239155096.56565657,13867298973.220201,13804194822.20606
-1464.0,-63253.0,-32848.8,360.0,3,1,16200,16200,False,45,15,ae4454f73a2c4bcaa8deaa84c8b27c0e,2021-07-17_15-48-41,1626536921,28.331318140029907,386.07664465904236,18168,264e0c6a7bc9,172.17.0.2,386.07664465904236,0,15,864eb_00000,"[-59865.0, -61538.0, -62442.0, -1837.0, -1464.0, -3158.0, -2426.0, -3071.0, -2679.0, -4974.0, -4767.0, -3769.0, -4569.0, -6976.0, -6459.0, -6598.0, -7406.0, -10935.0, -11629.0, -14634.0, -15949.0, -14331.0, -17187.0, -19465.0, -24560.0, -30620.0, -29935.0, -36314.0, -43675.0, -49353.0, -56709.0, -61522.0, -60997.0, -61855.0, -61046.0, -61083.0, -62480.0, -59321.0, -61959.0, -63253.0, -60127.0, -61514.0, -59700.0, -61109.0, -62936.0]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",0.5651479129608532,1.5768610509548346,0.25568213125360484,17.192967593411222,0.0,0.099,3639029.243,570.137,631.427,8.679,16200,16200,16200,16200,45,26.9925,12.864999999999998,1.918281687456809e+17,2.5343428628630733e+17,330173015.9191919,2306457302.109091,2615683423.676768
-1464.0,-63253.0,-34598.770833333336,360.0,3,1,17280,17280,False,48,16,ae4454f73a2c4bcaa8deaa84c8b27c0e,2021-07-17_15-49-10,1626536950,28.641456842422485,414.71810150146484,18168,264e0c6a7bc9,172.17.0.2,414.71810150146484,0,16,864eb_00000,"[-60564.0, -60756.0, -61225.0, -1837.0, -1464.0, -3158.0, -2426.0, -3071.0, -2679.0, -4974.0, -4767.0, -3769.0, -4569.0, -6976.0, -6459.0, -6598.0, -7406.0, -10935.0, -11629.0, -14634.0, -15949.0, -14331.0, -17187.0, -19465.0, -24560.0, -30620.0, -29935.0, -36314.0, -43675.0, -49353.0, -56709.0, -61522.0, -60997.0, -61855.0, -61046.0, -61083.0, -62480.0, -59321.0, -61959.0, -63253.0, -60127.0, -61514.0, -59700.0, -61109.0, -62936.0, -59865.0, -61538.0, -62442.0]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",0.5657666283962253,1.5768812836677997,0.255790446620755,17.357666617347032,0.0,0.095,3804897.549,563.169,639.24,7.984,17280,17280,17280,17280,48,26.58571428571428,12.899999999999999,4.3461993151741297e+18,1.4366602383201403e+18,227668820.2989899,13841265690.89293,13772135934.965656
-1464.0,-63253.0,-36170.901960784315,360.0,3,1,18360,18360,False,51,17,ae4454f73a2c4bcaa8deaa84c8b27c0e,2021-07-17_15-49-40,1626536980,28.6877543926239,443.40585589408875,18168,264e0c6a7bc9,172.17.0.2,443.40585589408875,0,17,864eb_00000,"[-61085.0, -61847.0, -61043.0, -1837.0, -1464.0, -3158.0, -2426.0, -3071.0, -2679.0, -4974.0, -4767.0, -3769.0, -4569.0, -6976.0, -6459.0, -6598.0, -7406.0, -10935.0, -11629.0, -14634.0, -15949.0, -14331.0, -17187.0, -19465.0, -24560.0, -30620.0, -29935.0, -36314.0, -43675.0, -49353.0, -56709.0, -61522.0, -60997.0, -61855.0, -61046.0, -61083.0, -62480.0, -59321.0, -61959.0, -63253.0, -60127.0, -61514.0, -59700.0, -61109.0, -62936.0, -59865.0, -61538.0, -62442.0, -60564.0, -60756.0, -61225.0]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",0.5663225146022067,1.576722401225028,0.2558696213949337,17.5120934309091,0.0,0.098,3667597.275,568.542,633.198,7.766,18360,18360,18360,18360,51,27.180487804878044,13.0,3.890141683181945e+18,1.3892736236252037e+18,210335541.26868686,12901253318.593939,12830280610.90909
-1464.0,-63253.0,-37539.88888888889,360.0,3,1,19440,19440,False,54,18,ae4454f73a2c4bcaa8deaa84c8b27c0e,2021-07-17_15-50-10,1626537010,29.410592079162598,472.81644797325134,18168,264e0c6a7bc9,172.17.0.2,472.81644797325134,0,18,864eb_00000,"[-60135.0, -61801.0, -60502.0, -1837.0, -1464.0, -3158.0, -2426.0, -3071.0, -2679.0, -4974.0, -4767.0, -3769.0, -4569.0, -6976.0, -6459.0, -6598.0, -7406.0, -10935.0, -11629.0, -14634.0, -15949.0, -14331.0, -17187.0, -19465.0, -24560.0, -30620.0, -29935.0, -36314.0, -43675.0, -49353.0, -56709.0, -61522.0, -60997.0, -61855.0, -61046.0, -61083.0, -62480.0, -59321.0, -61959.0, -63253.0, -60127.0, -61514.0, -59700.0, -61109.0, -62936.0, -59865.0, -61538.0, -62442.0, -60564.0, -60756.0, -61225.0, -61085.0, -61847.0, -61043.0]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",0.5668658830290587,1.5767738283544117,0.2559362510695677,17.65868487796401,0.0,0.103,3509401.433,562.582,639.907,7.279,19440,19440,19440,19440,54,26.662790697674417,13.06511627906977,5.2461414907904e+16,5.078847360650445e+16,193767312.29090908,1070342425.3414141,1258100814.610101
-1464.0,-63253.0,-38824.59649122807,360.0,3,1,20520,20520,False,57,19,ae4454f73a2c4bcaa8deaa84c8b27c0e,2021-07-17_15-50-45,1626537045,28.643474578857422,501.45992255210876,18168,264e0c6a7bc9,172.17.0.2,501.45992255210876,0,19,864eb_00000,"[-62213.0, -61414.0, -62221.0, -1837.0, -1464.0, -3158.0, -2426.0, -3071.0, -2679.0, -4974.0, -4767.0, -3769.0, -4569.0, -6976.0, -6459.0, -6598.0, -7406.0, -10935.0, -11629.0, -14634.0, -15949.0, -14331.0, -17187.0, -19465.0, -24560.0, -30620.0, -29935.0, -36314.0, -43675.0, -49353.0, -56709.0, -61522.0, -60997.0, -61855.0, -61046.0, -61083.0, -62480.0, -59321.0, -61959.0, -63253.0, -60127.0, -61514.0, -59700.0, -61109.0, -62936.0, -59865.0, -61538.0, -62442.0, -60564.0, -60756.0, -61225.0, -61085.0, -61847.0, -61043.0, -60135.0, -61801.0, -60502.0]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",0.5672988523415254,1.5765688803446714,0.2559805766054112,17.79594830850945,0.0,0.109,3289167.335,582.751,617.76,7.277,20520,20520,20520,20520,57,23.136734693877553,13.1,3.2993039917116293e+18,1.119361935825961e+18,194512602.24646464,12125865259.959597,12060750808.69495
-1464.0,-63253.0,-39877.316666666666,360.0,3,1,21600,21600,False,60,20,ae4454f73a2c4bcaa8deaa84c8b27c0e,2021-07-17_15-51-16,1626537076,29.86007332801819,531.319995880127,18168,264e0c6a7bc9,172.17.0.2,531.319995880127,0,20,864eb_00000,"[-59792.0, -60504.0, -59341.0, -1837.0, -1464.0, -3158.0, -2426.0, -3071.0, -2679.0, -4974.0, -4767.0, -3769.0, -4569.0, -6976.0, -6459.0, -6598.0, -7406.0, -10935.0, -11629.0, -14634.0, -15949.0, -14331.0, -17187.0, -19465.0, -24560.0, -30620.0, -29935.0, -36314.0, -43675.0, -49353.0, -56709.0, -61522.0, -60997.0, -61855.0, -61046.0, -61083.0, -62480.0, -59321.0, -61959.0, -63253.0, -60127.0, -61514.0, -59700.0, -61109.0, -62936.0, -59865.0, -61538.0, -62442.0, -60564.0, -60756.0, -61225.0, -61085.0, -61847.0, -61043.0, -60135.0, -61801.0, -60502.0, -62213.0, -61414.0, -62221.0]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",0.5677773453901096,1.57658662322496,0.25601811179885803,17.927299595607337,0.0,0.111,3252538.61,583.167,617.318,6.836,21600,21600,21600,21600,60,26.423255813953485,13.200000000000003,2.578697265006772e+18,9.760308369796628e+17,165405234.68282828,10641721381.236364,10574494949.624243
